issue,subject,company,response,product_area,status,request_type,justification
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,Escalate to a human,,escalated,product_issue,"The request involves reviewing a test score and potentially altering a hiring decision, which requires human authority and cannot be handled through self-service."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"If you are not satisfied with your mock interview or if there was an issue, please contact our support team at help@hackerrank.com. They will review your request for a refund promptly.",community,replied,product_issue,"I replied because the user can follow the documented process for refunds by contacting support, which is outlined in the retrieved snippets."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,Escalate to a human,,escalated,product_issue,"The request involves a specific payment issue with an order ID, which requires access to account-specific data that I cannot access."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"I can’t fill in the forms for your infosec process, but I recommend reaching out to your company's HR or infosec team for assistance with the necessary documentation. They will be able to guide you through the process of using HackerRank for hiring.",general,replied,product_issue,"The request involves a documented workflow that should be handled internally by the user's company, so I provided guidance to contact the appropriate team."
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"If you are unable to see the 'Apply' tab, please ensure that you are logged into your HackerRank account and that you are on the correct page where the 'Apply' option is available. If the issue persists, try accessing the page in a new browser window to avoid any cache-related problems.",library,replied,product_issue,"I replied because the issue described is a common troubleshooting scenario that can be resolved by following documented steps, such as checking login status and browser cache."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,Escalate to a human,,escalated,bug,"The issue described indicates a potential platform-wide outage affecting submissions across all challenges, which requires human investigation."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"To resolve the Zoom connectivity issue, please ensure that you have followed all the compatibility checks listed on the HackerRank Compatibility page. If the problem persists, contact support@hackerrank.com with a screenshot of the error message for further assistance.",interviews,replied,product_issue,"I replied because the issue relates to a documented compatibility check process, and I provided guidance on how to proceed based on the retrieved corpus."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"To reschedule your HackerRank assessment, please contact your recruiter or the company representative who scheduled the assessment. They will be able to assist you in finding an alternative date and time.",general,replied,product_issue,"I replied because the request involves a documented workflow where the user needs to contact their company representative for rescheduling, which is grounded in the support process for assessments."
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,"Currently, the inactivity times for candidates and interviewers are not explicitly detailed in the documentation. However, candidates are automatically pushed back to the lobby when all interviewers leave the interview. To address the issue of inactivity, you may want to consider enabling the virtual lobby, which allows interviewers to manage candidate presence more effectively. For further adjustments, please consult your company’s admin settings or reach out to your HR team for specific configurations.",settings,replied,product_issue,"I replied because the inquiry pertains to interview settings and inactivity times, which can be managed through the company-level admin settings. The response is grounded in the retrieved snippets regarding interview settings and the virtual lobby."
"it’s not working, help",Help needed,None,"If you are experiencing issues with the HackerRank platform, please submit a request by selecting **Support** in the footer of the HackerRank for Work platform or email us at support@hackerrank.com for assistance.",general,replied,product_issue,"I replied because the ticket describes a support issue that can be addressed through documented self-service options, directing the user to submit a request or email support."
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,"To remove an interviewer from an interview template, go to **Interviews > Templates**, click the **More options (⋮)** menu next to the template, select **Share**, choose the user you want to remove, and then select **Remove User** from the drop-down menu. Finally, click **Confirm** in the confirmation dialog box.",interviews,replied,product_issue,"I replied because the request involves a documented self-service workflow for removing user access from an interview template, which is clearly outlined in the retrieved corpus."
"Hi, please pause our subscription. We have stopped all hiring efforts for now.
",Subscription pause,HackerRank,"To pause your subscription, please follow these steps: Click on your profile icon in the top-right corner, select Settings, and navigate to the Billing section under Subscription. Then, click the Cancel Plan button, and you will see a prompt about the Pause Subscription feature. Confirm your selection to pause your subscription.",settings,replied,product_issue,"I replied because the request to pause the subscription is a documented self-service workflow that the user can follow, as outlined in the retrieved snippets."
Resume Builder is Down,Help in creating resume,HackerRank,Escalate to a human,,escalated,bug,"The user reported that the Resume Builder is down, which indicates a potential platform-wide issue that requires human investigation."
